scenario_id,source_video,scenario_file,odd_main_category,odd_events,num_odd_events,ego_avg_speed,ego_max_speed,ttc_min,ttc_mean,dto_min_vehicle,dto_min_pedestrian,collision_occurred,num_collision_agents,num_pedestrians,collision_time,collision_type,traffic_density,traffic_density_value,avg_num_vehicles,probability_of_collision,risk_ttc,risk_dto,illumination,visibility,precipitation_visible
scenario_117__on_road_following__v2,video_58.mp4,/scenarios/scenario_117.json,intersection,['interaction_present'],1,28.2,48.55,1.95,5.32,1.05,17.31,True,1,0,0:00:25,side_impact,medium,6.17,6.17,0.6173,0.513,0.957,dusk_dawn,poor,False
scenario_118__lane_change__v2,video_4.mp4,/scenarios/scenario_118.json,lane_change,['none'],0,44.91,69.35,9.47,11.39,14.95,24.5,False,0,1,,none,high,8.48,8.48,0.2225,0.106,0.067,night,good,False
scenario_119__lane_change__v1,video_46.mp4,/scenarios/scenario_119.json,roundabout,['none'],0,62.02,73.12,11.65,14.31,13.0,17.58,False,0,1,,none,medium,6.55,6.55,0.1575,0.086,0.077,night,moderate,False
scenario_120__roundabout__v3,video_2.mp4,/scenarios/scenario_120.json,intersection,['none'],0,41.93,72.31,7.38,11.87,13.71,13.43,False,0,0,,none,medium,7.52,7.52,0.1763,0.136,0.073,day,good,False
scenario_121__lane_change__v2,video_72.mp4,/scenarios/scenario_121.json,intersection,['none'],0,43.29,77.55,5.12,9.23,7.27,17.04,False,0,1,,none,medium,6.64,6.64,0.2194,0.195,0.138,dusk_dawn,moderate,False
scenario_122__lane_change__v2,video_3.mp4,/scenarios/scenario_122.json,on_road_following,['none'],0,32.36,67.84,7.01,10.07,6.67,16.86,False,0,0,,none,medium,5.3,5.3,0.2022,0.143,0.15,night,good,False
scenario_123__lane_change__v3,video_32.mp4,/scenarios/scenario_123.json,roundabout,['interaction_present'],1,20.45,46.05,8.39,10.98,5.08,9.69,False,0,1,,none,medium,4.64,4.64,0.2317,0.119,0.197,dusk_dawn,poor,False
scenario_124__roundabout__v2,video_71.mp4,/scenarios/scenario_124.json,roundabout,['interaction_present'],1,41.54,55.25,8.55,12.38,4.17,8.35,False,0,0,,none,high,9.1,9.1,0.3038,0.117,0.24,night,poor,False
scenario_125__roundabout__v2,video_59.mp4,/scenarios/scenario_125.json,roundabout,['none'],0,55.27,75.89,10.78,14.01,9.02,5.68,False,0,1,,none,low,3.54,3.54,0.1105,0.093,0.111,night,moderate,True
scenario_126__intersection__v1,video_25.mp4,/scenarios/scenario_126.json,roundabout,['none'],0,42.61,80.3,5.85,8.87,2.54,7.97,False,0,2,,none,high,11.47,11.47,0.3466,0.171,0.394,day,poor,False
scenario_127__intersection__v1,video_28.mp4,/scenarios/scenario_127.json,lane_change,['none'],0,32.71,55.97,6.08,9.21,3.63,7.65,False,0,0,,none,high,11.34,11.34,0.3081,0.164,0.275,night,poor,False
scenario_128__roundabout__v1,video_25.mp4,/scenarios/scenario_128.json,roundabout,['none'],0,24.7,53.24,6.99,11.47,4.3,18.85,False,0,2,,none,medium,6.47,6.47,0.2268,0.143,0.232,day,moderate,False
scenario_129__intersection__v2,video_2.mp4,/scenarios/scenario_129.json,intersection,['none'],0,58.43,67.38,10.16,14.83,9.81,23.82,False,0,1,,none,medium,7.35,7.35,0.1698,0.098,0.102,night,good,False
scenario_130__on_road_following__v3,video_38.mp4,/scenarios/scenario_130.json,intersection,['interaction_present'],1,22.41,61.61,6.66,11.15,12.17,16.34,False,0,2,,none,medium,4.6,4.6,0.2095999999999999,0.15,0.082,dusk_dawn,moderate,False
scenario_131__on_road_following__v1,video_74.mp4,/scenarios/scenario_131.json,roundabout,['none'],0,63.89,80.0,10.82,13.32,5.86,17.98,False,0,0,,none,medium,7.93,7.93,0.1881,0.092,0.171,night,moderate,False
scenario_132__lane_change__v2,video_24.mp4,/scenarios/scenario_132.json,on_road_following,['none'],0,39.43,60.13,5.14,7.63,4.95,6.46,False,0,0,,none,high,8.35,8.35,0.2986,0.195,0.202,night,moderate,False
scenario_133__on_road_following__v1,video_52.mp4,/scenarios/scenario_133.json,lane_change,['interaction_present'],1,47.12,85.42,10.62,15.28,12.58,7.18,False,0,0,,none,medium,6.79,6.79,0.1863,0.094,0.079,day,poor,False
scenario_134__on_road_following__v1,video_20.mp4,/scenarios/scenario_134.json,roundabout,['none'],0,58.24,91.7,9.46,14.29,2.24,8.92,False,0,0,,none,high,8.12,8.12,0.3365,0.106,0.447,day,good,False
scenario_135__on_road_following__v3,video_54.mp4,/scenarios/scenario_135.json,intersection,['none'],0,39.0,50.9,7.31,9.09,4.16,17.35,False,0,0,,none,high,8.37,8.37,0.2868,0.137,0.24,dusk_dawn,moderate,False
scenario_136__lane_change__v2,video_39.mp4,/scenarios/scenario_136.json,lane_change,['none'],0,35.57,61.93,9.45,11.54,7.38,7.44,False,0,0,,none,high,8.49,8.49,0.2432,0.106,0.136,night,poor,False
scenario_137__on_road_following__v3,video_13.mp4,/scenarios/scenario_137.json,intersection,['none'],0,34.76,67.53,4.67,9.34,7.52,6.74,False,0,1,,none,medium,6.79,6.79,0.2255,0.214,0.133,dusk_dawn,good,False
scenario_138__roundabout__v3,video_11.mp4,/scenarios/scenario_138.json,intersection,['interaction_present'],1,60.96,96.91,5.05,6.9,9.94,13.22,False,0,2,,none,low,3.61,3.61,0.1745,0.198,0.101,day,good,False
scenario_139__on_road_following__v1,video_1.mp4,/scenarios/scenario_139.json,lane_change,['interaction_present'],1,62.56,91.06,10.29,14.35,3.95,13.48,False,0,0,,none,low,3.59,3.59,0.1797,0.097,0.253,night,poor,False
scenario_140__lane_change__v2,video_5.mp4,/scenarios/scenario_140.json,intersection,['none'],0,24.79,30.61,8.78,12.21,9.11,9.64,False,0,0,,none,medium,7.54,7.54,0.1786,0.114,0.11,night,poor,True
scenario_141__roundabout__v3,video_59.mp4,/scenarios/scenario_141.json,on_road_following,['interaction_present'],1,49.85,78.51,6.98,9.77,11.42,5.32,False,0,0,,none,high,10.01,10.01,0.2686,0.143,0.088,dusk_dawn,good,False
scenario_142__roundabout__v3,video_76.mp4,/scenarios/scenario_142.json,intersection,['none'],0,33.71,41.49,3.77,8.35,4.49,11.47,False,0,0,,none,medium,4.9,4.9,0.2729,0.265,0.223,night,good,False
scenario_143__intersection__v3,video_20.mp4,/scenarios/scenario_143.json,roundabout,['none'],0,53.48,60.93,8.76,10.85,9.71,18.6,False,0,0,,none,medium,6.03,6.03,0.1765,0.114,0.103,day,good,False
scenario_144__on_road_following__v1,video_40.mp4,/scenarios/scenario_144.json,roundabout,['none'],0,53.09,77.61,9.58,12.44,2.78,16.25,False,0,1,,none,high,8.59,8.59,0.3093,0.104,0.359,night,good,False
scenario_145__lane_change__v3,video_39.mp4,/scenarios/scenario_145.json,lane_change,['interaction_present'],1,41.13,74.9,3.01,5.21,14.76,14.5,False,0,0,,none,low,2.32,2.32,0.2182,0.332,0.068,night,poor,False
scenario_146__lane_change__v2,video_11.mp4,/scenarios/scenario_146.json,on_road_following,['none'],0,66.35,90.25,10.58,13.66,10.11,6.78,False,0,1,,none,high,10.09,10.09,0.2277,0.095,0.099,night,poor,False
scenario_147__roundabout__v3,video_33.mp4,/scenarios/scenario_147.json,on_road_following,['crossing_vehicle'],1,25.88,38.84,1.18,3.71,0.65,1.17,True,2,1,0:01:04,rear_end,high,11.37,11.37,0.8230000000000001,0.845,1.0,day,poor,False
scenario_148__on_road_following__v3,video_35.mp4,/scenarios/scenario_148.json,on_road_following,['none'],0,69.61,104.41,4.88,9.6,3.51,21.35,False,0,0,,none,high,10.66,10.66,0.3275,0.205,0.285,day,moderate,False
scenario_149__lane_change__v2,video_24.mp4,/scenarios/scenario_149.json,lane_change,['interaction_present'],1,30.6,64.25,5.9,6.99,4.0,9.47,False,0,1,,none,high,11.26,11.26,0.3276,0.169,0.25,dusk_dawn,moderate,True
scenario_150__on_road_following__v2,video_45.mp4,/scenarios/scenario_150.json,lane_change,['interaction_present'],1,66.14,88.19,8.46,12.52,4.27,15.05,False,0,0,,none,low,2.61,2.61,0.1824,0.118,0.234,night,moderate,True
scenario_151__on_road_following__v1,video_43.mp4,/scenarios/scenario_151.json,lane_change,['none'],0,45.31,58.44,3.72,7.83,3.59,16.89,False,0,2,,none,high,10.37,10.37,0.3513,0.269,0.279,dusk_dawn,moderate,False
scenario_152__roundabout__v3,video_52.mp4,/scenarios/scenario_152.json,on_road_following,['none'],0,52.51,62.83,3.55,7.68,7.98,6.16,False,0,1,,none,high,8.65,8.65,0.3103,0.282,0.125,night,good,False
scenario_153__roundabout__v2,video_42.mp4,/scenarios/scenario_153.json,on_road_following,['none'],0,23.73,56.13,5.39,7.1,10.99,17.36,False,0,1,,none,low,3.56,3.56,0.1417,0.186,0.091,night,poor,False
scenario_154__on_road_following__v3,video_70.mp4,/scenarios/scenario_154.json,lane_change,['interaction_present'],1,46.35,66.26,4.18,8.72,7.85,8.89,False,0,0,,none,medium,5.56,5.56,0.2587,0.239,0.127,night,good,False
scenario_155__intersection__v3,video_47.mp4,/scenarios/scenario_155.json,lane_change,['interaction_present'],1,68.19,81.89,4.2,6.88,12.27,16.64,False,0,1,,none,medium,7.81,7.81,0.2445,0.238,0.081,dusk_dawn,moderate,True
scenario_156__on_road_following__v1,video_35.mp4,/scenarios/scenario_156.json,intersection,['interaction_present'],1,68.79,101.85,11.64,14.59,3.43,15.96,False,0,0,,none,high,10.29,10.29,0.307,0.086,0.292,night,moderate,True
scenario_157__lane_change__v1,video_4.mp4,/scenarios/scenario_157.json,intersection,['none'],0,63.23,76.75,8.87,13.11,9.98,22.19,False,0,0,,none,high,11.52,11.52,0.2352,0.113,0.1,dusk_dawn,good,False
scenario_158__roundabout__v3,video_2.mp4,/scenarios/scenario_158.json,lane_change,['interaction_present'],1,35.77,64.86,6.94,8.96,12.93,5.77,False,0,1,,none,high,8.01,8.01,0.2657,0.144,0.077,day,good,False
scenario_159__on_road_following__v2,video_16.mp4,/scenarios/scenario_159.json,intersection,['none'],0,31.35,67.48,7.06,11.59,3.37,24.77,False,0,0,,none,low,1.53,1.53,0.1856,0.142,0.296,night,poor,True
scenario_160__roundabout__v3,video_35.mp4,/scenarios/scenario_160.json,lane_change,['interaction_present'],1,23.6,31.1,3.11,7.93,11.59,12.07,False,0,0,,none,medium,4.85,4.85,0.2796,0.322,0.086,night,moderate,False
scenario_161__intersection__v2,video_71.mp4,/scenarios/scenario_161.json,intersection,['none'],0,37.74,57.17,7.95,12.27,2.89,13.49,False,0,0,,none,medium,6.66,6.66,0.2542,0.126,0.346,night,good,False
scenario_162__intersection__v1,video_36.mp4,/scenarios/scenario_162.json,lane_change,['interaction_present'],1,51.23,69.6,4.85,6.34,10.0,20.49,False,0,1,,none,low,1.46,1.46,0.1774,0.206,0.1,night,poor,False
scenario_163__roundabout__v1,video_37.mp4,/scenarios/scenario_163.json,roundabout,['none'],0,43.72,52.71,7.37,12.06,8.77,17.33,False,0,0,,none,low,1.48,1.48,0.1286,0.136,0.114,dusk_dawn,poor,False
scenario_164__lane_change__v1,video_58.mp4,/scenarios/scenario_164.json,lane_change,['none'],0,38.61,58.73,6.95,10.41,14.26,9.81,False,0,0,,none,low,3.17,3.17,0.1186,0.144,0.07,night,moderate,True
scenario_165__lane_change__v2,video_42.mp4,/scenarios/scenario_165.json,intersection,['none'],0,53.57,69.67,10.91,12.95,9.07,17.72,False,0,0,,none,high,11.76,11.76,0.2298,0.092,0.11,dusk_dawn,good,False
scenario_166__lane_change__v1,video_53.mp4,/scenarios/scenario_166.json,on_road_following,['none'],0,52.81,64.02,7.91,12.84,14.19,5.86,False,0,0,,none,low,2.45,2.45,0.1114,0.126,0.07,night,poor,True
scenario_167__lane_change__v3,video_49.mp4,/scenarios/scenario_167.json,lane_change,['none'],0,44.42,54.69,6.08,8.74,11.86,19.87,False,0,1,,none,low,2.67,2.67,0.1308,0.164,0.084,dusk_dawn,poor,False
scenario_168__intersection__v2,video_5.mp4,/scenarios/scenario_168.json,intersection,['none'],0,58.06,68.66,7.15,8.19,5.21,19.53,False,0,1,,none,medium,5.42,5.42,0.2136,0.14,0.192,dusk_dawn,poor,False
scenario_169__roundabout__v1,video_57.mp4,/scenarios/scenario_169.json,on_road_following,['none'],0,57.12,90.65,8.53,12.29,6.88,15.77,False,0,0,,none,high,10.33,10.33,0.2503,0.117,0.145,dusk_dawn,moderate,True
scenario_170__on_road_following__v3,video_19.mp4,/scenarios/scenario_170.json,lane_change,['none'],0,30.12,68.66,6.31,8.62,3.94,11.11,False,0,2,,none,medium,5.93,5.93,0.2394,0.158,0.254,dusk_dawn,good,False
scenario_171__on_road_following__v2,video_34.mp4,/scenarios/scenario_171.json,roundabout,['none'],0,26.89,55.1,3.02,4.73,2.38,8.34,False,0,0,,none,medium,5.26,5.26,0.3587,0.331,0.421,dusk_dawn,poor,False
scenario_172__lane_change__v3,video_11.mp4,/scenarios/scenario_172.json,roundabout,['none'],0,52.12,59.39,8.22,11.47,9.29,17.07,False,0,1,,none,low,3.97,3.97,0.1212,0.122,0.108,dusk_dawn,poor,False
scenario_173__lane_change__v2,video_63.mp4,/scenarios/scenario_173.json,on_road_following,['none'],0,27.45,56.79,9.71,14.64,4.73,21.5,False,0,0,,none,medium,5.11,5.11,0.2047999999999999,0.103,0.212,dusk_dawn,good,False
scenario_174__intersection__v3,video_37.mp4,/scenarios/scenario_174.json,intersection,['none'],0,24.43,37.15,8.38,12.33,14.98,23.66,False,0,1,,none,medium,8.0,8.0,0.1677,0.119,0.067,dusk_dawn,good,False
scenario_175__lane_change__v1,video_13.mp4,/scenarios/scenario_175.json,lane_change,['none'],0,69.56,100.71,9.66,14.46,4.64,16.31,False,0,1,,none,high,8.7,8.7,0.2664,0.104,0.216,day,poor,False
scenario_176__roundabout__v1,video_6.mp4,/scenarios/scenario_176.json,roundabout,['none'],0,45.9,61.36,11.47,13.5,7.59,22.45,False,0,1,,none,high,9.83,9.83,0.2344,0.087,0.132,day,moderate,False
scenario_177__roundabout__v2,video_56.mp4,/scenarios/scenario_177.json,intersection,['none'],0,51.56,58.3,11.14,15.77,12.14,5.14,False,0,0,,none,low,3.48,3.48,0.1006,0.09,0.082,day,poor,True
scenario_178__lane_change__v3,video_24.mp4,/scenarios/scenario_178.json,intersection,['interaction_present'],1,52.85,91.33,3.62,4.85,5.67,10.23,False,0,0,,none,high,10.97,10.97,0.3482,0.276,0.176,day,good,False
scenario_179__lane_change__v3,video_31.mp4,/scenarios/scenario_179.json,lane_change,['interaction_present'],1,41.44,76.01,5.41,7.04,13.09,5.93,False,0,1,,none,medium,4.81,4.81,0.2218,0.185,0.076,dusk_dawn,good,False
scenario_180__intersection__v2,video_33.mp4,/scenarios/scenario_180.json,lane_change,['none'],0,64.99,70.76,8.97,13.83,9.28,23.74,False,0,0,,none,medium,5.61,5.61,0.1768,0.111,0.108,night,poor,False
scenario_181__on_road_following__v2,video_37.mp4,/scenarios/scenario_181.json,intersection,['none'],0,68.98,79.05,9.53,11.29,6.4,11.17,False,0,2,,none,low,1.24,1.24,0.1288,0.105,0.156,day,moderate,False
scenario_182__roundabout__v3,video_39.mp4,/scenarios/scenario_182.json,lane_change,['interaction_present'],1,62.53,87.17,7.71,9.17,13.18,19.46,False,0,0,,none,high,8.79,8.79,0.2598,0.13,0.076,dusk_dawn,moderate,False
scenario_183__lane_change__v2,video_26.mp4,/scenarios/scenario_183.json,lane_change,['none'],0,62.35,82.35,4.27,7.93,4.81,6.95,False,0,1,,none,high,9.24,9.24,0.316,0.234,0.208,night,good,True
scenario_184__intersection__v2,video_74.mp4,/scenarios/scenario_184.json,roundabout,['none'],0,60.32,81.39,3.47,7.61,4.62,10.17,False,0,0,,none,medium,4.63,4.63,0.2803,0.288,0.217,dusk_dawn,moderate,False
scenario_185__roundabout__v1,video_51.mp4,/scenarios/scenario_185.json,roundabout,['cut_in:right'],1,26.31,54.4,0.82,2.85,1.43,20.01,True,1,1,0:01:49,rear_end,low,2.04,2.04,0.6747000000000001,1.0,0.699,dusk_dawn,poor,False
scenario_186__on_road_following__v3,video_64.mp4,/scenarios/scenario_186.json,roundabout,['none'],0,25.27,53.26,10.4,12.92,12.08,24.29,False,0,0,,none,medium,6.76,6.76,0.1633,0.096,0.083,day,poor,False
scenario_187__roundabout__v1,video_25.mp4,/scenarios/scenario_187.json,roundabout,['none'],0,33.82,49.75,8.78,10.57,13.66,15.4,False,0,0,,none,medium,7.14,7.14,0.1675,0.114,0.073,dusk_dawn,poor,False
scenario_188__intersection__v3,video_13.mp4,/scenarios/scenario_188.json,on_road_following,['none'],0,65.31,80.0,11.85,13.41,4.63,8.68,False,0,1,,none,low,2.67,2.67,0.1384,0.084,0.216,night,moderate,False
scenario_189__on_road_following__v3,video_47.mp4,/scenarios/scenario_189.json,intersection,['none'],0,62.84,71.96,9.66,11.94,14.85,14.71,False,0,0,,none,high,8.98,8.98,0.2217,0.104,0.067,day,moderate,False
scenario_190__roundabout__v3,video_54.mp4,/scenarios/scenario_190.json,intersection,['none'],0,41.37,52.05,3.11,6.35,8.86,19.39,False,0,1,,none,high,9.05,9.05,0.3223,0.321,0.113,day,good,False
scenario_191__roundabout__v3,video_65.mp4,/scenarios/scenario_191.json,roundabout,['none'],0,65.91,74.79,9.84,14.79,13.72,18.03,False,0,0,,none,low,3.8,3.8,0.1027,0.102,0.073,day,moderate,False
scenario_192__lane_change__v2,video_44.mp4,/scenarios/scenario_192.json,on_road_following,['none'],0,28.69,58.61,10.43,11.84,5.12,7.84,False,0,0,,none,medium,5.95,5.95,0.1969,0.096,0.195,night,good,False
scenario_193__intersection__v1,video_51.mp4,/scenarios/scenario_193.json,roundabout,['none'],0,48.86,79.69,10.26,14.63,5.3,5.62,False,0,1,,none,medium,4.46,4.46,0.1959,0.098,0.189,day,moderate,True
scenario_194__on_road_following__v2,video_69.mp4,/scenarios/scenario_194.json,on_road_following,['none'],0,62.79,75.74,10.53,12.65,10.36,18.88,False,0,0,,none,medium,4.36,4.36,0.1671,0.095,0.097,night,moderate,True
scenario_195__roundabout__v3,video_49.mp4,/scenarios/scenario_195.json,roundabout,['none'],0,40.42,71.99,11.13,13.06,12.5,6.18,False,0,1,,none,high,10.62,10.62,0.22,0.09,0.08,day,poor,False
scenario_196__intersection__v2,video_4.mp4,/scenarios/scenario_196.json,roundabout,"['crossing_vehicle', 'pedestrian_near_ego_lane']",2,42.35,63.47,2.23,5.42,0.69,7.21,True,2,1,0:01:56,pedestrian,high,9.14,9.14,0.6896000000000001,0.449,1.0,day,poor,True
scenario_197__on_road_following__v3,video_60.mp4,/scenarios/scenario_197.json,roundabout,['interaction_present'],1,68.64,102.55,9.29,13.65,14.76,17.43,False,0,0,,none,medium,7.91,7.91,0.1886,0.108,0.068,dusk_dawn,moderate,False
scenario_198__on_road_following__v1,video_6.mp4,/scenarios/scenario_198.json,on_road_following,['interaction_present'],1,25.63,55.26,7.87,9.25,5.14,5.25,False,0,0,,none,medium,4.31,4.31,0.234,0.127,0.194,night,moderate,True
scenario_199__on_road_following__v1,video_31.mp4,/scenarios/scenario_199.json,intersection,['none'],0,56.51,82.47,3.58,8.09,13.4,11.61,False,0,0,,none,high,11.88,11.88,0.2941,0.279,0.075,night,moderate,True
scenario_200__roundabout__v3,video_70.mp4,/scenarios/scenario_200.json,lane_change,['interaction_present'],1,59.73,65.94,8.25,13.23,13.12,15.43,False,0,0,,none,high,10.15,10.15,0.2562,0.121,0.076,dusk_dawn,poor,False
scenario_201__intersection__v2,video_13.mp4,/scenarios/scenario_201.json,lane_change,['interaction_present'],1,46.26,52.4,10.82,12.08,14.43,5.5,False,0,1,,none,high,11.02,11.02,0.2425,0.092,0.069,dusk_dawn,moderate,False
scenario_202__roundabout__v1,video_48.mp4,/scenarios/scenario_202.json,intersection,['none'],0,64.63,85.14,8.46,11.99,9.69,19.05,False,0,0,,none,medium,6.64,6.64,0.1781,0.118,0.103,night,moderate,False
scenario_203__intersection__v2,video_13.mp4,/scenarios/scenario_203.json,roundabout,['none'],0,68.54,82.73,5.44,8.34,14.79,10.38,False,0,0,,none,high,10.81,10.81,0.254,0.184,0.068,dusk_dawn,poor,False
scenario_204__roundabout__v1,video_51.mp4,/scenarios/scenario_204.json,roundabout,['none'],0,22.28,32.18,5.49,10.38,6.31,14.64,False,0,0,,none,medium,7.72,7.72,0.2205,0.182,0.159,day,good,False
scenario_205__lane_change__v1,video_28.mp4,/scenarios/scenario_205.json,on_road_following,['none'],0,46.85,81.75,3.45,7.78,12.97,10.7,False,0,0,,none,medium,5.82,5.82,0.2391,0.29,0.077,day,moderate,False
scenario_206__intersection__v1,video_73.mp4,/scenarios/scenario_206.json,intersection,['interaction_present'],1,66.59,85.48,3.78,7.25,3.48,11.9,False,0,0,,none,high,10.62,10.62,0.3767,0.264,0.287,day,poor,False
scenario_207__intersection__v3,video_28.mp4,/scenarios/scenario_207.json,intersection,"['crossing_vehicle', 'interaction_present']",2,42.53,80.06,0.83,3.39,1.15,18.42,True,1,0,0:01:39,side_impact,high,8.42,8.42,0.8710000000000001,1.0,0.87,day,poor,False
scenario_208__on_road_following__v2,video_19.mp4,/scenarios/scenario_208.json,intersection,['none'],0,20.08,47.35,3.46,5.49,2.77,17.08,False,0,1,,none,medium,5.22,5.22,0.3238999999999999,0.289,0.361,dusk_dawn,moderate,False
scenario_209__intersection__v1,video_4.mp4,/scenarios/scenario_209.json,intersection,"['pedestrian_near_ego_lane', 'cut_in:right']",2,49.82,74.05,2.3,4.92,0.62,13.25,True,1,3,0:01:50,rear_end,medium,6.52,6.52,0.624,0.435,1.0,night,good,False
scenario_210__roundabout__v1,video_23.mp4,/scenarios/scenario_210.json,roundabout,['interaction_present'],1,56.2,65.42,11.12,12.39,8.94,7.84,False,0,0,,none,medium,5.64,5.64,0.1946,0.09,0.112,day,good,False
scenario_211__lane_change__v3,video_15.mp4,/scenarios/scenario_211.json,on_road_following,"['cut_in:left', 'interaction_present', 'pedestrian_near_ego_lane']",3,39.97,76.82,2.12,3.98,0.81,6.35,True,1,1,0:00:36,side_impact,medium,5.44,5.44,0.6641999999999999,0.473,1.0,night,moderate,False
scenario_212__on_road_following__v2,video_65.mp4,/scenarios/scenario_212.json,intersection,['none'],0,42.32,75.26,10.4,14.83,13.92,13.62,False,0,0,,none,medium,7.4,7.4,0.16,0.096,0.072,dusk_dawn,good,False
scenario_213__roundabout__v2,video_4.mp4,/scenarios/scenario_213.json,on_road_following,"['stop', 'cut_in:left', 'cut_in:right']",3,39.65,63.05,1.52,3.19,1.04,1.6,True,2,1,0:01:18,side_impact,medium,6.69,6.69,0.726,0.656,0.962,night,moderate,False
scenario_214__on_road_following__v2,video_57.mp4,/scenarios/scenario_214.json,on_road_following,"['pedestrian_near_ego_lane', 'cut_in:left', 'cut_in:right']",3,40.48,56.37,1.85,5.28,0.67,1.98,True,1,1,0:00:31,rear_end,low,2.55,2.55,0.6306,0.539,1.0,night,poor,False
scenario_215__intersection__v1,video_17.mp4,/scenarios/scenario_215.json,roundabout,['none'],0,26.79,35.27,4.88,9.58,7.38,12.91,False,0,0,,none,low,2.62,2.62,0.1625,0.205,0.135,dusk_dawn,poor,False
scenario_216__roundabout__v2,video_77.mp4,/scenarios/scenario_216.json,roundabout,['none'],0,25.81,64.26,5.83,10.38,9.84,21.53,False,0,1,,none,high,11.57,11.57,0.2594,0.172,0.102,night,poor,True
scenario_217__lane_change__v1,video_15.mp4,/scenarios/scenario_217.json,intersection,['none'],0,58.68,97.98,7.3,10.43,4.19,9.94,False,0,1,,none,high,10.09,10.09,0.2865,0.137,0.239,night,moderate,False
scenario_218__intersection__v2,video_44.mp4,/scenarios/scenario_218.json,lane_change,"['pedestrian_near_ego_lane', 'stop', 'interaction_present']",3,37.12,51.58,2.43,5.66,0.65,7.78,True,1,1,0:01:34,side_impact,medium,6.38,6.38,0.6394,0.411,1.0,night,poor,False
scenario_219__on_road_following__v2,video_55.mp4,/scenarios/scenario_219.json,roundabout,['none'],0,36.29,69.03,7.15,11.08,3.92,22.05,False,0,2,,none,medium,7.52,7.52,0.2325,0.14,0.255,dusk_dawn,moderate,False
scenario_220__roundabout__v1,video_61.mp4,/scenarios/scenario_220.json,on_road_following,['none'],0,63.5,73.07,10.11,11.61,12.32,10.52,False,0,2,,none,medium,6.09,6.09,0.1639,0.099,0.081,day,good,True
scenario_221__on_road_following__v2,video_13.mp4,/scenarios/scenario_221.json,roundabout,['none'],0,44.6,60.18,7.42,10.51,9.32,13.82,False,0,0,,none,high,11.11,11.11,0.2461,0.135,0.107,day,poor,False
scenario_222__on_road_following__v3,video_72.mp4,/scenarios/scenario_222.json,roundabout,['none'],0,69.04,88.3,10.45,14.51,9.46,24.12,False,0,0,,none,low,2.2,2.2,0.1102,0.096,0.106,dusk_dawn,good,True
scenario_223__lane_change__v2,video_55.mp4,/scenarios/scenario_223.json,on_road_following,['none'],0,34.92,48.34,5.81,7.83,2.4,24.43,False,0,0,,none,high,9.07,9.07,0.3539,0.172,0.417,night,poor,False
scenario_224__roundabout__v2,video_14.mp4,/scenarios/scenario_224.json,intersection,['interaction_present'],1,56.14,85.37,4.21,6.41,6.66,21.09,False,0,0,,none,low,3.32,3.32,0.2052,0.238,0.15,day,poor,False
scenario_225__lane_change__v1,video_14.mp4,/scenarios/scenario_225.json,roundabout,['interaction_present'],1,30.03,69.85,3.81,4.82,2.57,11.84,False,0,1,,none,low,1.06,1.06,0.2866000000000001,0.263,0.388,dusk_dawn,moderate,False
scenario_226__on_road_following__v2,video_74.mp4,/scenarios/scenario_226.json,intersection,['interaction_present'],1,58.31,92.91,8.52,9.88,8.34,6.55,False,0,0,,none,medium,5.48,5.48,0.2078,0.117,0.12,night,poor,False
scenario_227__on_road_following__v3,video_35.mp4,/scenarios/scenario_227.json,on_road_following,['none'],0,51.6,76.8,9.28,10.3,3.31,22.38,False,0,1,,none,high,10.26,10.26,0.2938,0.108,0.302,day,moderate,False
scenario_228__roundabout__v2,video_45.mp4,/scenarios/scenario_228.json,on_road_following,"['stop', 'crossing_vehicle']",2,23.65,42.75,1.09,3.02,0.57,23.58,True,1,1,0:01:41,rear_end,medium,4.54,4.54,0.8168000000000001,0.917,1.0,day,poor,False
scenario_229__lane_change__v1,video_19.mp4,/scenarios/scenario_229.json,on_road_following,['none'],0,21.68,34.2,6.75,10.78,4.44,19.4,False,0,1,,none,high,10.04,10.04,0.2867,0.148,0.225,day,poor,True
scenario_230__intersection__v2,video_54.mp4,/scenarios/scenario_230.json,lane_change,['none'],0,32.1,62.08,10.4,14.62,9.18,15.4,False,0,0,,none,high,9.53,9.53,0.2311,0.096,0.109,night,good,False
scenario_231__roundabout__v2,video_42.mp4,/scenarios/scenario_231.json,on_road_following,['interaction_present'],1,64.1,97.93,9.5,11.58,7.23,7.05,False,0,0,,none,high,9.61,9.61,0.2684,0.105,0.138,day,good,False
scenario_0232__on_road_following__v3,video_23.mp4,/scenarios/scenario_0232.json,lane_change,['interaction_present'],1,34.31,48.38,9.06,13.66,9.62,22.12,False,0,0,,none,medium,6.99,6.99,0.3674,0.0,0.808,night,good,False
scenario_0233__on_road_following__v4,video_138.mp4,/scenarios/scenario_0233.json,roundabout,['none'],0,36.48,51.27,10.64,14.61,13.37,7.09,False,0,0,,none,high,10.12,10.12,0.3799,0.0,0.733,night,good,False
scenario_0234__intersection__v2,video_87.mp4,/scenarios/scenario_0234.json,roundabout,['none'],0,59.29,88.73,10.95,13.56,8.51,12.34,False,0,0,,none,high,9.02,9.02,0.409,0.0,0.83,dusk_dawn,good,False
